months,hombresenfermos,hombrescurados,hombresfallecidos
2040.833,780612.677479,878.189262164,364.936426721
2040.917,785910.893046,884.149754676,367.413342499
2041.0,791204.124503,890.104640066,369.887928205
2041.083,796492.008133,896.053509149,372.360013802
2041.167,801774.194518,901.995968833,374.829435937
2041.25,807050.349091,907.931642728,377.2960382
2041.333,812320.15268,913.860171766,379.759671378
2041.417,817583.302045,919.7812148,382.220193706
2041.5,822839.510404,925.694449205,384.677471114
2041.583,828088.507965,931.599571461,387.131377474
2041.667,833330.042433,937.496297737,389.581794837
2041.75,838563.879522,943.384364462,392.028613676
2041.833,843789.803457,949.263528889,394.471733116
2041.917,849007.617467,955.13356965,396.911061166
2042.0,854217.144269,955.13356965,396.911061166
