months,hombres,defhom,emihom,nachom,inmhom
2030.333333,5254900.46,26589.8,2627.45,27067.99,16282.98
2030.416667,5256472.99,26597.75,2628.24,27076.09,16289.13
2030.5,5258045.99,26605.71,2629.02,27084.19,16295.28
2030.583333,5259619.46,26613.67,2629.81,27092.3,16301.43
2030.666667,5261193.4,26621.64,2630.6,27100.41,16307.58
2030.75,5262767.82,26629.61,2631.38,27108.52,16313.73
2030.833333,5264342.7,26637.57,2632.17,27116.63,16319.89
2030.916667,5265918.05,26645.55,2632.96,27124.74,16326.05
2031,5267493.88,26653.52,2633.75,27132.86,16332.21
2031.083333,5269070.18,26661.5,2634.54,27140.98,16338.38
2031.166667,5270646.95,26669.47,2635.32,27149.1,16344.54
2031.25,5272224.19,26677.45,2636.11,27157.23,16350.71
2031.333333,5273801.9,26685.44,2636.9,27165.35,16356.88
2031.416667,5275380.09,26693.42,2637.69,27173.48,16363.06
2031.5,5276958.74,26701.41,2638.48,27181.61,16369.23
2031.583333,5278537.87,26709.4,2639.27,27189.75,16375.41
2031.666667,5280117.48,26717.39,2640.06,27197.89,16381.59
2031.75,5281697.55,26725.39,2640.85,27206.02,16387.77
2031.833333,5283278.1,26733.39,2641.64,27214.17,16393.96
2031.916667,5284859.12,26741.39,2642.43,27222.31,16400.14
2032,5286440.61,26749.39,2643.22,27230.46,16406.33
2032.083333,5288022.58,26757.39,2644.01,27238.6,16412.53
2032.166667,5289605.02,26765.4,2644.8,27246.76,16418.72
2032.25,5291187.94,26773.41,2645.59,27254.91,16424.92
2032.333333,5292771.33,26781.42,2646.39,27263.07,16431.12
2032.416667,5294355.19,26789.44,2647.18,27271.22,16437.32
2032.5,5295939.52,26797.45,2647.97,27279.38,16443.52
2032.583333,5297524.33,26805.47,2648.76,27287.55,16449.73
2032.666667,5299109.62,26813.49,2649.55,27295.71,16455.94
2032.75,5300695.38,26821.52,2650.35,27303.88,16462.15
2032.833333,5302281.61,26829.54,2651.14,27312.05,16468.36
2032.916667,5303868.32,26837.57,2651.93,27320.23,16474.57
2033,5305455.5,26845.6,2652.73,27328.4,16480.79
2033.083333,5307043.16,26853.64,2653.52,27336.58,16487.01
2033.166667,5308631.29,26861.67,2654.32,27344.76,16493.24
2033.25,5310219.9,26869.71,2655.11,27352.94,16499.46
