months,mujeres,defmuj,emimuj,inmmuj,nacmuj
2034.333333,5181436.5,16684.23,2072.57,16580.6,25642.93
2034.416667,5183392.06,16690.52,2073.36,16586.85,25652.61
2034.5,5185348.35,16696.82,2074.14,16593.11,25662.29
2034.583333,5187305.39,16703.12,2074.92,16599.38,25671.97
2034.666667,5189263.17,16709.43,2075.71,16605.64,25681.66
2034.75,5191221.68,16715.73,2076.49,16611.91,25691.36
2034.833333,5193180.94,16722.04,2077.27,16618.18,25701.05
2034.916667,5195140.93,16728.35,2078.06,16624.45,25710.75
2035,5197101.66,16734.67,2078.84,16630.73,25720.46
2035.083333,5199063.13,16740.98,2079.63,16637.0,25730.16
2035.166667,5201025.35,16747.3,2080.41,16643.28,25739.87
2035.25,5202988.3,16753.62,2081.2,16649.56,25749.59
2035.333333,5204952.0,16759.95,2081.98,16655.85,25759.31
2035.416667,5206916.43,16766.27,2082.77,16662.13,25769.03
2035.5,5208881.61,16772.6,2083.55,16668.42,25778.76
2035.583333,5210847.53,16778.93,2084.34,16674.71,25788.48
2035.666667,5212814.19,16785.26,2085.13,16681.01,25798.22
2035.75,5214781.59,16791.6,2085.91,16687.3,25807.95
2035.833333,5216749.74,16797.93,2086.7,16693.6,25817.69
2035.916667,5218718.62,16804.27,2087.49,16699.9,25827.44
2036,5220688.26,16810.62,2088.28,16706.2,25837.19
2036.083333,5222658.63,16816.96,2089.06,16712.51,25846.94
2036.166667,5224629.75,16823.31,2089.85,16718.82,25856.69
2036.25,5226601.61,16829.66,2090.64,16725.13,25866.45
2036.333333,5228574.22,16836.01,2091.43,16731.44,25876.21
2036.416667,5230547.57,16842.36,2092.22,16737.75,25885.98
2036.5,5232521.66,16848.72,2093.01,16744.07,25895.75
2036.583333,5234496.51,16855.08,2093.8,16750.39,25905.52
2036.666667,5236472.09,16861.44,2094.59,16756.71,25915.3
2036.75,5238448.42,16867.8,2095.38,16763.03,25925.08
2036.833333,5240425.5,16874.17,2096.17,16769.36,25934.87
2036.916667,5242403.32,16880.54,2096.96,16775.69,25944.65
2037,5244381.9,16886.91,2097.75,16782.02,25954.45
2037.083333,5246361.21,16893.28,2098.54,16788.36,25964.24
2037.166667,5248341.28,16899.66,2099.34,16794.69,25974.04
2037.25,5250322.09,16906.04,2100.13,16801.03,25983.84
2037.333333,5252303.65,16912.42,2100.92,16807.37,25993.65
2037.416667,5254285.95,16918.8,2101.71,16813.72,26003.46
2037.5,5256269.01,16925.19,2102.51,16820.06,26013.28
2037.583333,5258252.81,16931.57,2103.3,16826.41,26023.09
2037.666667,5260237.36,16937.96,2104.09,16832.76,26032.91
2037.75,5262222.67,16944.36,2104.89,16839.11,26042.74
2037.833333,5264208.72,16950.75,2105.68,16845.47,26052.57
2037.916667,5266195.52,16957.15,2106.48,16851.83,26062.4
2038,5268183.07,16963.55,2107.27,16858.19,26072.24
2038.083333,5270171.37,16969.95,2108.07,16864.55,26082.08
2038.166667,5272160.42,16976.36,2108.86,16870.91,26091.92
2038.25,5274150.22,16982.76,2109.66,16877.28,26101.77
2038.333333,5276140.77,16989.17,2110.46,16883.65,26111.62
2038.416667,5278132.07,16995.59,2111.25,16890.02,26121.48
2038.5,5280124.13,17002.0,2112.05,16896.4,26131.33
2038.583333,5282116.94,17008.42,2112.85,16902.77,26141.2
2038.666667,5284110.5,17014.84,2113.64,16909.15,26151.06
2038.75,5286104.81,17021.26,2114.44,16915.54,26160.93
2038.833333,5288099.87,17027.68,2115.24,16921.92,26170.81
2038.916667,5290095.69,17034.11,2116.04,16928.31,26180.68
2039,5292092.26,17040.54,2116.84,16934.7,26190.56
2039.083333,5294089.58,17046.97,2117.64,16941.09,26200.45
2039.166667,5296087.66,17053.4,2118.44,16947.48,26210.34
2039.25,5298086.49,17059.84,2119.23,16953.88,26220.23
2039.333333,5300086.08,17066.28,2120.03,16960.28,26230.13
2039.416667,5302086.42,17072.72,2120.83,16966.68,26240.03
2039.5,5304087.51,17079.16,2121.64,16973.08,26249.93
2039.583333,5306089.36,17085.61,2122.44,16979.49,26259.84
2039.666667,5308091.97,17092.06,2123.24,16985.89,26269.75
2039.75,5310095.33,17098.51,2124.04,16992.31,26279.66
2039.833333,5312099.45,17104.96,2124.84,16998.72,26289.58
2039.916667,5314104.33,17111.42,2125.64,17005.13,26299.5
2040,5316109.96,17117.87,2126.44,17011.55,26309.43
2040.083333,5318116.35,17124.33,2127.25,17017.97,26319.36
2040.166667,5320123.49,17130.8,2128.05,17024.4,26329.29
2040.25,5322131.4,17137.26,2128.85,17030.82,26339.23
2040.333333,5324140.06,17143.73,2129.66,17037.25,26349.17
2040.416667,5326149.48,17150.2,2130.46,17043.68,26359.11
2040.5,5328159.65,17156.67,2131.26,17050.11,26369.06
2040.583333,5330170.59,17163.15,2132.07,17056.55,26379.01
2040.666667,5332182.29,17169.63,2132.87,17062.98,26388.97
2040.75,5334194.74,17176.11,2133.68,17069.42,26398.93
2040.833333,5336207.95,17182.59,2134.48,17075.87,26408.89
2040.916667,5338221.93,17189.07,2135.29,17082.31,26418.86
2041,5340236.66,17195.56,2136.09,17088.76,26428.83
2041.083333,5342252.16,17202.05,2136.9,17095.21,26438.81
2041.166667,5344268.41,17208.54,2137.71,17101.66,26448.78
2041.25,5346285.43,17215.04,2138.51,17108.11,26458.77
2041.333333,5348303.2,17221.54,2139.32,17114.57,26468.75
2041.416667,5350321.74,17228.04,2140.13,17121.03,26478.74
2041.5,5352341.04,17234.54,2140.94,17127.49,26488.74
2041.583333,5354361.11,17241.04,2141.74,17133.96,26498.73
2041.666667,5356381.93,17247.55,2142.55,17140.42,26508.73
2041.75,5358403.52,17254.06,2143.36,17146.89,26518.74
2041.833333,5360425.87,17260.57,2144.17,17153.36,26528.75
2041.916667,5362448.98,17267.09,2144.98,17159.84,26538.76
Final,5364472.86,,,,
